 ID        u              v       
   1   0.0000000000   0.0000000000
   2  -0.0092379245  -0.0050263620
   3  -0.0190897544  -0.0158610794
   4  -0.0285996605  -0.0348315203
   5  -0.0376100724  -0.0612361532
   6  -0.0461426238  -0.0947315468
   7  -0.0542570799  -0.1350731415
   8  -0.0619748514  -0.1820705837
   9  -0.0693014547  -0.2355340483
  10  -0.0762370243  -0.2952708775
  11  -0.0827809711  -0.3610860477
  12  -0.0889329242  -0.4327836719
  13  -0.0946927462  -0.5101676410
  14  -0.1000604048  -0.5930418341
  15  -0.1050358994  -0.6812101520
  16  -0.1096192337  -0.7744765096
  17  -0.1138104103  -0.8726448273
  18  -0.1176094298  -0.9755190269
  19  -0.1210162924  -1.0829030303
  20  -0.1240309983  -1.1946007592
  21  -0.1266535473  -1.3104161351
  22  -0.1288839395  -1.4301530796
  23  -0.1307221748  -1.5536155143
  24  -0.1321682532  -1.6806073608
  25  -0.1332221748  -1.8109325407
  26  -0.1338839395  -1.9443949754
  27  -0.1341535473  -2.0807985866
  28  -0.1340309983  -2.2199472959
  29  -0.1335162924  -2.3616450247
  30  -0.1326094297  -2.5056956948
  31  -0.1313104101  -2.6519032276
  32  -0.1296192336  -2.8000715447
  33  -0.1275359003  -2.9500045676
  34  -0.1250604101  -3.1015062181
  35  -0.1221927631  -3.2543804175
  36  -0.1189329591  -3.4084310876
  37  -0.1152809984  -3.5634621498
  38  -0.1112368807  -3.7192775257
  39  -0.1068006062  -3.8756811370
  40  -0.1019721748  -4.0324769051
  41  -0.0967515866  -4.1894687516
  42  -0.0911388415  -4.3464605981
  43  -0.0851339395  -4.5032563662
  44  -0.0787368807  -4.6596599775
  45  -0.0719476650  -4.8154753534
  46  -0.0647662925  -4.9705064156
  47  -0.0571927631  -5.1245570857
  48  -0.0492270768  -5.2774312852
  49  -0.0408692337  -5.4289329356
  50  -0.0321192337  -5.5788659586
  51  -0.0229770768  -5.7270342758
  52  -0.0134427631  -5.8732418086
  53  -0.0035162925  -6.0172924786
  54   0.0068023350  -6.1589902075
  55   0.0175131193  -6.2981389168
  56   0.0286160604  -6.4345425281
  57   0.0401111585  -6.5680049628
  58   0.0519984134  -6.6983301427
  59   0.0642778251  -6.8253219893
  60   0.0769493938  -6.9487844240
  61   0.0900131193  -7.0685213686
  62   0.1034690017  -7.1843367445
  63   0.1173170408  -7.2960344731
  64   0.1315572364  -7.4034184761
  65   0.1461895876  -7.5062926756
  66   0.1612140932  -7.6044609960
  67   0.1766307547  -7.6977273670
  68   0.1924395875  -7.7858957241
  69   0.2086406483  -7.8687699904
  70   0.2252340730  -7.9461539869
  71   0.2422200352  -8.0178511766
  72   0.2595982740  -8.0836642038
  73   0.2773663056  -8.1433947940
  74   0.2955150610  -8.1968467875
  75   0.3140229856  -8.2438404868
  76   0.3328629436  -8.2842529559
  77   0.3520761428  -8.3180930822
  78   0.3720662088  -8.3455387878
  79   0.3944542064  -8.3666079370
  80   0.4244126077  -8.3788695100
  81   0.4732041468  -8.3587069768
  82   0.0000000000   0.0000000000
  83  -0.0020303157  -0.0019629138
  84  -0.0044140561  -0.0132980318
  85  -0.0063779357  -0.0324559737
  86  -0.0080935944  -0.0590248620
  87  -0.0096278428  -0.0926446130
  88  -0.0109738779  -0.1331107179
  89  -0.0121260575  -0.1802328654
  90  -0.0130823133  -0.2338219471
  91  -0.0138423065  -0.2936847196
  92  -0.0144060931  -0.3596259398
  93  -0.0147737512  -0.4314496273
  94  -0.0149453182  -0.5089596545
  95  -0.0149208060  -0.5919599008
  96  -0.0147002166  -0.6802542698
  97  -0.0142835496  -0.7736466778
  98  -0.0136708044  -0.8719410458
  99  -0.0128619809  -0.9749412958
 100  -0.0118570790  -1.0824513496
 101  -0.0106560986  -1.1942751289
 102  -0.0092590398  -1.3102165552
 103  -0.0076659025  -1.4300795502
 104  -0.0058766868  -1.5536680353
 105  -0.0038913927  -1.6807859322
 106  -0.0017100202  -1.8112371625
 107   0.0006674308  -1.9448256477
 108   0.0032409602  -2.0813553093
 109   0.0060105681  -2.2206300690
 110   0.0089762543  -2.3624538483
 111   0.0121380191  -2.5066305687
 112   0.0154958622  -2.6529641519
 113   0.0190497838  -2.8012585194
 114   0.0227997838  -2.9513175929
 115   0.0267458622  -3.1029452937
 116   0.0308880190  -3.2559455436
